CustomerID,Industry,CompanySize,Region,SubscriptionPlan,SalesDate,RenewalStatus,SalesAmount
1,Healthcare,200-499,South America,Monthly,10/12/2022,Active,16215
2,Healthcare,500-999,South America,Annual,12/29/2022,Active,15892
3,Healthcare,1000+,South America,Monthly,08/26/2022,Active,10852
4,Manufacturing,200-499,Asia,Annual,07/06/2022,Active,19389
5,Finance,200-499,South America,Monthly,06/20/2023,Active,9209
6,Finance,1000+,Africa,Annual,09/29/2022,Active,3983
7,Healthcare,500-999,Asia,Annual,11/15/2023,Active,5197
8,Finance,500-999,North America,Annual,03/27/2023,Active,6946
9,Education,50-199,Africa,Annual,02/25/2022,Active,2627
10,Technology,500-999,North America,Monthly,09/27/2022,Active,17340
11,Finance,1-49,North America,Monthly,11/11/2022,Active,12228
12,Manufacturing,200-499,South America,Monthly,08/19/2023,Active,17228
13,Manufacturing,1000+,South America,Annual,04/04/2022,Active,9036
14,Manufacturing,50-199,Asia,Annual,06/27/2023,Active,577
15,Healthcare,200-499,Asia,Monthly,09/12/2023,Active,13748
16,Finance,200-499,Europe,Annual,04/18/2023,Active,3975
17,Healthcare,500-999,South America,Monthly,05/19/2023,Active,3192
18,Technology,200-499,Europe,Annual,06/11/2023,Active,19942
19,Education,1-49,South America,Annual,02/07/2022,Active,1521
20,Finance,1-49,North America,Monthly,04/22/2022,Active,5901
21,Education,1-49,Africa,Monthly,09/25/2022,Active,10170
22,Technology,200-499,Asia,Annual,07/01/2022,Active,15521
23,Technology,500-999,North America,Annual,10/02/2023,Active,4013
24,Manufacturing,200-499,South America,Monthly,06/06/2022,Active,8683
25,Education,200-499,Africa,Annual,11/08/2023,Active,6648
26,Finance,500-999,Asia,Annual,07/11/2022,Active,12099
27,Finance,50-199,Asia,Annual,01/18/2022,Active,17949
28,Finance,1-49,Asia,Annual,03/24/2022,Active,15883
29,Finance,500-999,North America,Annual,09/05/2022,Active,1879
30,Technology,1-49,South America,Annual,08/20/2023,Active,17951
31,Manufacturing,500-999,Asia,Annual,10/14/2022,Active,18961
32,Healthcare,200-499,North America,Monthly,02/08/2023,Active,19394
33,Technology,1000+,Africa,Monthly,08/31/2023,Active,4150
34,Technology,1-49,Asia,Annual,04/20/2023,Active,8273
35,Finance,200-499,Africa,Annual,12/16/2023,Active,6519
36,Manufacturing,1000+,South America,Annual,04/14/2022,Active,5392
37,Finance,1-49,Africa,Annual,08/10/2023,Active,6331
38,Technology,500-999,Europe,Monthly,08/25/2022,Active,9731
39,Healthcare,1000+,Asia,Monthly,12/18/2022,Active,16560
40,Education,1000+,Asia,Monthly,08/11/2023,Active,1490
41,Healthcare,50-199,Africa,Monthly,04/02/2022,Active,9898
42,Finance,1-49,Asia,Monthly,04/01/2023,Active,8994
43,Manufacturing,200-499,Europe,Annual,07/26/2023,Active,2436
44,Education,50-199,North America,Annual,05/15/2023,Active,9121
45,Technology,1-49,Africa,Monthly,07/12/2022,Active,17951
46,Education,1000+,Asia,Annual,09/22/2022,Active,11047
47,Technology,1000+,South America,Annual,10/11/2022,Active,11836
48,Education,1000+,Asia,Annual,10/13/2022,Active,2682
49,Healthcare,1000+,Europe,Annual,09/18/2022,Active,8474
50,Finance,1000+,Asia,Monthly,04/16/2022,Active,1756
51,Manufacturing,1-49,Africa,Annual,07/15/2022,Active,8620
52,Finance,1-49,North America,Annual,11/15/2023,Active,4908
53,Technology,1-49,Africa,Monthly,02/23/2022,Active,10581
54,Technology,200-499,Asia,Annual,02/14/2022,Active,2738
55,Finance,1-49,Asia,Monthly,07/12/2022,Active,15002
56,Education,200-499,Africa,Monthly,08/09/2023,Active,17757
57,Education,1-49,Africa,Monthly,01/22/2022,Active,13381
58,Technology,500-999,North America,Monthly,10/23/2022,Active,1995
59,Healthcare,50-199,Asia,Monthly,12/04/2023,Active,9991
60,Healthcare,200-499,Africa,Annual,09/23/2023,Active,15353
61,Manufacturing,200-499,South America,Monthly,04/18/2022,Active,17368
62,Finance,1-49,Asia,Monthly,07/04/2023,Active,17698
63,Manufacturing,50-199,Asia,Monthly,11/22/2022,Active,6240
64,Healthcare,200-499,North America,Annual,11/17/2023,Active,17030
65,Technology,1000+,North America,Annual,12/09/2023,Active,15119
66,Technology,500-999,South America,Monthly,06/24/2023,Active,15036
67,Manufacturing,500-999,Africa,Monthly,12/24/2023,Active,11901
68,Technology,1-49,Europe,Annual,01/07/2022,Active,6938
69,Technology,50-199,Asia,Monthly,11/11/2022,Active,17117
70,Manufacturing,200-499,South America,Monthly,06/14/2023,Active,2096
71,Education,1-49,Europe,Annual,11/25/2023,Active,3066
72,Finance,50-199,Asia,Annual,05/26/2023,Active,11961
73,Technology,500-999,South America,Monthly,12/04/2022,Active,19611
74,Manufacturing,1-49,Europe,Annual,06/19/2022,Active,11892
75,Healthcare,50-199,North America,Annual,12/29/2022,Active,12134
76,Manufacturing,200-499,South America,Annual,12/07/2022,Active,16184
77,Finance,200-499,Europe,Annual,07/31/2022,Active,1536
78,Healthcare,500-999,North America,Monthly,03/28/2023,Active,7377
79,Education,1-49,Africa,Annual,10/09/2022,Active,18638
80,Healthcare,50-199,South America,Monthly,07/09/2023,Active,17050
81,Healthcare,500-999,North America,Monthly,12/08/2022,Active,19918
82,Education,200-499,North America,Monthly,11/15/2022,Active,19702
83,Healthcare,1000+,Europe,Annual,02/22/2022,Active,14326
84,Finance,500-999,North America,Monthly,08/13/2022,Active,8735
85,Manufacturing,200-499,South America,Annual,07/14/2022,Active,19056
86,Education,1-49,Africa,Annual,02/20/2023,Active,8134
87,Finance,50-199,Europe,Annual,09/03/2023,Active,17083
88,Manufacturing,50-199,Africa,Monthly,05/03/2023,Active,17328
89,Finance,200-499,Europe,Annual,06/06/2022,Active,5129
90,Technology,200-499,Africa,Monthly,04/07/2022,Active,9990
91,Finance,500-999,Africa,Annual,04/06/2022,Active,8483
92,Finance,1000+,Africa,Monthly,12/13/2022,Active,9734
93,Finance,200-499,Asia,Annual,04/15/2023,Active,2725
94,Finance,200-499,South America,Annual,08/21/2022,Active,10116
95,Education,1-49,Africa,Annual,10/23/2023,Active,19538
96,Technology,200-499,Europe,Annual,11/26/2023,Active,11086
97,Finance,1-49,Africa,Monthly,01/21/2022,Active,11955
98,Education,1-49,Asia,Monthly,08/31/2022,Active,17042
99,Healthcare,50-199,South America,Monthly,06/21/2023,Active,2861
100,Healthcare,50-199,Europe,Monthly,12/23/2023,Active,12085
101,Healthcare,1000+,Asia,Monthly,05/07/2022,Active,4972
102,Education,500-999,Africa,Monthly,04/14/2022,Active,14789
103,Healthcare,500-999,Africa,Annual,02/23/2023,Active,15121
104,Manufacturing,1-49,Europe,Annual,06/13/2022,Active,18390
105,Healthcare,50-199,Asia,Monthly,04/01/2022,Active,19795
106,Technology,500-999,North America,Monthly,07/18/2022,Active,15098
107,Education,200-499,Asia,Monthly,09/04/2022,Active,18679
108,Manufacturing,50-199,North America,Annual,07/09/2023,Active,1732
109,Manufacturing,500-999,North America,Annual,08/18/2022,Active,15128
110,Education,50-199,South America,Monthly,01/13/2023,Active,3574
111,Technology,50-199,North America,Annual,09/25/2023,Active,15835
112,Healthcare,200-499,Asia,Annual,08/28/2022,Active,11486
113,Technology,200-499,Asia,Annual,03/09/2023,Active,11965
114,Healthcare,1-49,South America,Annual,09/21/2022,Active,14993
115,Finance,1000+,Africa,Monthly,07/10/2022,Active,5079
116,Manufacturing,50-199,Asia,Monthly,10/29/2023,Active,5254
117,Manufacturing,500-999,Africa,Annual,03/28/2023,Active,1386
118,Finance,1-49,North America,Monthly,10/10/2023,Active,17650
119,Education,200-499,North America,Monthly,03/06/2022,Active,16017
120,Finance,1-49,Asia,Annual,08/24/2023,Active,7382
121,Education,200-499,Africa,Annual,11/13/2022,Active,10196
122,Education,500-999,South America,Annual,01/26/2022,Active,12792
123,Technology,200-499,Asia,Monthly,10/18/2022,Active,1298
124,Technology,500-999,Europe,Annual,06/09/2023,Active,10759
125,Manufacturing,200-499,South America,Monthly,12/04/2023,Active,8346
126,Manufacturing,1-49,South America,Annual,04/02/2022,Active,14350
127,Manufacturing,1000+,Asia,Monthly,06/29/2022,Active,15079
128,Healthcare,1000+,Asia,Monthly,01/28/2023,Active,6055
129,Finance,50-199,Africa,Monthly,07/19/2023,Active,4590
130,Healthcare,200-499,North America,Monthly,05/16/2023,Active,9948
131,Healthcare,1-49,North America,Annual,09/03/2023,Active,1874
132,Education,500-999,Asia,Monthly,03/11/2023,Active,3458
133,Healthcare,500-999,Africa,Annual,09/10/2023,Active,5419
134,Education,1-49,South America,Annual,05/26/2022,Active,5975
135,Education,500-999,Asia,Annual,02/06/2022,Active,14870
136,Healthcare,1-49,Europe,Monthly,03/12/2023,Active,14425
137,Technology,500-999,Africa,Annual,06/28/2022,Active,17345
138,Finance,50-199,Asia,Monthly,03/05/2022,Active,7553
139,Manufacturing,200-499,Europe,Monthly,05/07/2023,Active,1375
140,Technology,1-49,Europe,Monthly,05/21/2023,Active,13545
141,Finance,500-999,North America,Monthly,01/12/2022,Active,13168
142,Healthcare,500-999,South America,Monthly,07/20/2022,Active,10565
143,Technology,200-499,North America,Annual,03/11/2023,Active,2601
144,Healthcare,1000+,Europe,Monthly,05/31/2023,Active,7670
145,Healthcare,50-199,Europe,Monthly,11/22/2022,Active,18076
146,Technology,1000+,Africa,Annual,04/09/2022,Active,17460
147,Manufacturing,500-999,North America,Monthly,11/07/2022,Active,8001
148,Healthcare,50-199,Asia,Monthly,06/07/2022,Active,13089
149,Finance,1000+,Asia,Monthly,11/29/2022,Active,3392
150,Healthcare,1000+,Europe,Monthly,09/19/2023,Active,13931
151,Manufacturing,50-199,Europe,Annual,12/20/2023,Active,16527
152,Technology,50-199,Europe,Monthly,02/17/2022,Active,7987
153,Education,1-49,Africa,Monthly,05/12/2022,Active,18517
154,Technology,500-999,Europe,Annual,02/18/2022,Active,18182
155,Technology,500-999,Africa,Annual,04/02/2022,Active,9114
156,Manufacturing,200-499,Europe,Monthly,12/18/2023,Active,11371
157,Education,50-199,North America,Annual,07/07/2023,Active,6247
158,Education,50-199,Europe,Monthly,01/27/2023,Active,607
159,Manufacturing,500-999,Africa,Annual,10/13/2023,Active,7521
160,Technology,500-999,Africa,Annual,02/27/2023,Active,17042
161,Education,200-499,South America,Annual,04/06/2023,Active,6157
162,Manufacturing,1-49,North America,Monthly,10/29/2022,Active,17784
163,Technology,1000+,Africa,Annual,04/21/2022,Active,5919
164,Technology,50-199,South America,Annual,02/14/2023,Active,9271
165,Finance,1-49,Africa,Annual,03/04/2022,Active,7865
166,Manufacturing,1000+,Africa,Annual,11/29/2022,Active,17394
167,Education,1000+,Africa,Annual,02/05/2023,Active,4959
168,Manufacturing,1-49,Europe,Annual,03/14/2022,Active,12995
169,Manufacturing,1000+,Asia,Monthly,09/27/2023,Active,8627
170,Finance,1-49,Europe,Monthly,06/23/2022,Active,6226
171,Healthcare,50-199,Europe,Annual,08/20/2023,Active,3105
172,Education,1000+,Europe,Annual,05/02/2022,Active,4604
173,Education,500-999,Asia,Annual,04/05/2022,Active,4298
174,Manufacturing,1000+,Africa,Annual,02/26/2022,Active,14132
175,Technology,500-999,Europe,Monthly,04/04/2022,Active,2850
176,Manufacturing,500-999,South America,Monthly,08/07/2022,Active,16846
177,Education,200-499,Africa,Monthly,11/01/2023,Active,11381
178,Finance,50-199,Asia,Annual,10/06/2023,Active,9437
179,Technology,500-999,Europe,Monthly,06/10/2022,Active,17208
180,Manufacturing,1000+,Africa,Monthly,03/18/2023,Active,11110
181,Finance,500-999,Asia,Annual,12/19/2022,Active,16648
182,Technology,1-49,Asia,Annual,12/15/2023,Active,5123
183,Healthcare,500-999,Africa,Annual,02/27/2022,Active,8210
184,Finance,1000+,Asia,Monthly,07/05/2022,Active,7003
185,Finance,1-49,South America,Annual,04/18/2022,Active,14200
186,Manufacturing,1-49,Africa,Annual,07/03/2023,Active,13500
187,Education,1-49,Asia,Annual,07/06/2022,Active,4393
188,Education,1-49,Asia,Annual,10/29/2022,Active,18052
189,Education,500-999,South America,Monthly,01/29/2022,Active,17133
190,Technology,1000+,Africa,Annual,12/17/2023,Active,8690
191,Healthcare,1-49,Africa,Monthly,05/08/2023,Active,5975
192,Manufacturing,1000+,Africa,Monthly,06/10/2022,Active,4477
193,Finance,200-499,Europe,Monthly,01/06/2022,Active,8187
194,Technology,200-499,Asia,Annual,11/28/2023,Active,15695
195,Finance,200-499,South America,Annual,04/14/2023,Active,3566
196,Technology,1000+,North America,Annual,04/13/2023,Active,12740
197,Manufacturing,1-49,South America,Annual,12/05/2022,Active,3079
198,Healthcare,1-49,Africa,Annual,11/01/2022,Active,6559
199,Education,1-49,North America,Annual,08/09/2023,Active,11341
200,Finance,1000+,South America,Annual,05/24/2023,Active,5917
201,Healthcare,1-49,Europe,Monthly,07/22/2022,Active,11779
202,Education,50-199,North America,Annual,12/24/2022,Active,12201
203,Education,50-199,Europe,Annual,02/14/2023,Active,4210
204,Manufacturing,50-199,Africa,Annual,07/20/2023,Active,16880
205,Technology,500-999,North America,Monthly,09/28/2023,Active,15372
206,Manufacturing,500-999,Asia,Annual,10/06/2022,Active,9366
207,Manufacturing,1-49,Asia,Monthly,10/14/2022,Active,11703
208,Healthcare,50-199,South America,Annual,05/08/2022,Active,5365
209,Manufacturing,200-499,Asia,Annual,12/22/2023,Active,12201
210,Healthcare,50-199,Asia,Monthly,04/16/2023,Active,19473
211,Education,1-49,Asia,Monthly,10/21/2023,Active,1727
212,Technology,500-999,North America,Monthly,11/19/2022,Active,12544
213,Finance,500-999,Asia,Annual,09/25/2022,Active,2918
214,Healthcare,1-49,South America,Annual,11/04/2022,Active,6429
215,Healthcare,1-49,Africa,Monthly,02/13/2022,Active,12842
216,Education,500-999,Africa,Monthly,10/14/2023,Active,7337
217,Education,1000+,North America,Monthly,11/28/2023,Active,13938
